Job Position,Office,City,Country,Salary,Work Time,Job Level,Job Level Specific,Job_Category,Industry,Qualification 1,Qualification 2,Qualification 3,Qualification 4,Qualification 5,
Business Relationship Officer (Property Product) - Jabodetabek,PT BFI Finance Indonesia Tbk,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,Man / Woman,Max 30 years old,Education min. S1 All Majors.,Have a private vehicle and A/C driving license.,Sociable and easy to get along with.,
Business System Analyst,OGYA,Tangerang,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,IT and Software,Information Technology / IT,"Possess Bachelor Degree from a reputable University in computer science, information technology, or information system.","At least 3 years experience in complex system implementation, including project planning and tracking, requirement gathering, impact assessment and analysis, translate business/finance requirement to system logic, testing, and documentation","Excellent knowledge of database design, process flow diagram and query language",Basic understanding of programming logic to liaise with Engineeringing counterparts.,Ability to read code to investigate bugs or identify changes needed in a project.,
Business System Analyst (Insurance/Banking),PT. Indocyber Global Technology,Jakarta Barat,Indonesia,Salary Undisclosed,Contractual,Associate,Supervisor,IT and Software,Information Technology / IT,At least 2 years of experience in Business / System Analyst work or equivalent,Bachelor's degree preferably in Information Technology or Information System,Has experience in banking/insurance/finance is a must,"Has experience in BRD, TSD, and FSD","Familiar with Object Oriented Programming (OOP), experiences with some object-oriented languages (such as Java, .Net) are advantageous",
Buyer Home and Decoration,Dekoruma,Jakarta Barat,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Supply Chain and Logistics,E-Commerce,Bachelor’s Degree in relevant field,Working experience in sourcing/purchase/retail in furniture categories min 2 years,Understand furniture production process and technicalities,Familiar with industry costs and strong demonstrated experience in price negotiations,"Excellent communication, interpersonal, presentation and negotiation skills",
Call center,Timo Digital Bank,"Thành phố Hồ Chí Minh,",Vietnam,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Customer Service,Banking,Having Financial Institution experience is a plus.,"Excellent verbal communication skills, speaking clearly and succinctly, required English language proficiency.",Candidates must be able to perform job functions independently or as part of a team and have problem-solving skills to solve a diversity of customer issues.,"Being able to work in shifts 24/7, Timo service is available for our customers 365 days a year.",Work in HCMC and desire to work in a newly established project with high pressure and productivity achievement.,
Call Center Agent (Renewable Contract),Lalamove,Singapore,Singapore,"IDR 20,858,454.00 - IDR 25,493,666.00",Contractual,Entry Level,"Junior, Apprentice",Customer Service,Logistics and Supply Chain,"Energetic, driven, passionate, proactive, and attentive to details","Proficient in MS office application, in particular MS Excel",Ability to focus and work independently,Monthly incentive available,,
Call Center Agent | Bacoor Cavite,Aces Call Center Jobs Inc.,Bacoor,Philippines,"IDR 5,010,359.24 - IDR 5,288,712.53",Full Time,Entry Level,"Junior, Apprentice",Customer Service,Call Center / BPO,Filipino,At least High School graduate,"Experience in BPO preferred, but NOT required. We accept fresh graduates.",Above average to excellent English communication skills (written and verbal),Computer literate with typing speed of 25wpm 85% accuracy,
Call Center Agent | Baguio,Aces Call Center Jobs Inc.,Baguio,Philippines,"IDR 4,453,652.66 - IDR 6,402,125.69",Full Time,Entry Level,"Junior, Apprentice",Customer Service,Call Center / BPO,Filipino,At least High School Graduate,Proficient in using the English language,Computer literate; typing speed of 28wpm,Willing to work on shifting schedule (including night shift),
Call Center Agent | Ortigas Center,Aces Call Center Jobs Inc.,Mandaluyong,Philippines,"IDR 5,010,359.24 - IDR 8,350,598.73",Full Time,Entry Level,"Junior, Apprentice",Customer Service,Call Center / BPO,Customer service experience in any industry is a plus but not required.,Previous technical background is also a plus,Fresh graduates.,Average to advanced written and spoken English.,Average to advanced knowledge in web navigation.,
Call Center Agents | Eastwood Quezon City,Aces Call Center Jobs Inc.,Quezon,Philippines,"IDR 5,010,359.24 - IDR 5,845,419.12",Full Time,Entry Level,"Junior, Apprentice",Customer Service,Call Center / BPO,High School or Senior High School graduate,6 months BPO international account customer service experience (can be voice or non-voice experience),Above average to Good English communication skills,Computer literate and good internet navigation skills,Amenable to work on shifting schedule,
Call Center Agents | Retail Account No experience needed | Bacolod Salary 15K-18K,Aces Call Center Jobs Inc.,Bacolod City,Philippines,"IDR 4,175,299.37 - IDR 5,010,359.24",Full Time,Entry Level,"Junior, Apprentice",Customer Service,Call Center / BPO,Filipino,Senior HS graduate or 2nd year undergraduate,No experience required,Above-average English communications skills,Willing to work in Bacolod,
Call Center Associate,Aces Call Center Jobs Inc.,Mandaluyong,Philippines,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Customer Service,Call Center / BPO,Knowledgeable of customer service principles and practices.,Knowledgeable of call centers telephony and technology.,Knowledgeable of administration and clerical processes,Some experience in a call center or customer service environment.,Proficient in relevant computer applications.,
Call Center Associate | Healthcare,Aces Call Center Jobs Inc.,Mandaluyong,Philippines,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Customer Service,Call Center / BPO,Customer service experience in any industry is okay.,Technical background is a plus.,Average to advanced written and spoken English.,Average to advanced knowledge in computer applications.,Amenable to shifting schedules including night shifts.,
Call Center Professional,Aces Call Center Jobs Inc.,Mandaluyong,Philippines,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Customer Service,Call Center / BPO,"Good communication skills, both verbal and written.",Good listening skills.,Skilled in problem analysis and problem solving.,Excellent customer service orientation.,Good organizational skills.,
Call Center Sales Assocates | Cubao,Aces Call Center Jobs Inc.,Quezon,Philippines,"IDR 5,010,359.24 - IDR 7,793,892.15",Full Time,Entry Level,"Junior, Apprentice",Customer Service,Call Center / BPO,At least High School graduate / College graduate or undergraduate,With 1 year sales experience in the BPO or call center industry,Above-average to Good English communication skills,"Willing to work in Cubao, Quezon City",,
Cannery Internship-Processed Pine Factory,Great Giant Foods,Lampung Tengah,Indonesia,Salary Undisclosed,Freelance,Internship,OJT,Manufacturing and Production,Food Production,Bachelor of Agricultural Products Technology/Agricultural Industrial Technology/Chemical Engineeringing,"Have integrity, good leadership and organizational skills",Have analytical and problem solving skills,Have skills in operational planning and management,Only candidates who meet the requirements will take part in the next stage,
Cantonese and Mandarin Billingual Associates,Aces Call Center Jobs Inc.,Quezon,Philippines,"IDR 13,917,664.55 - IDR 22,268,263.28",Full Time,Entry Level,"Junior, Apprentice",Customer Service,Call Center / BPO,Native Cantonese and Mandarin Speaker,Completed at least 2nd year College (equivalent to 4 semesters),Proficient in using the English language,Computer literate and highly trainable,Willing to work on Dayshift,
Captain Restaurant,Kakkoii and Kurnia Group,Surabaya,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice","Hotel, Restaurant and Travel",Food and Beverages,Minimum high school/vocational education equivalent,Minimum 1 year experience in the same field as Captain or Assistant Restaurant Supervisor,Attractive,Can work under pressure,Honest and disciplined,
Cashier,Blackbarn Coffee,Surabaya,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice","Hotel, Restaurant and Travel",Restaurants,Maximum 28 Years,Minimum SMA/SMK education,Attractive,Have experience as a Barista or Cashier,Can work in team,
Central Operation,PT BFI Finance Indonesia Tbk,Tangerang,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Administration,Financial Services,Minimum Bachelor's degree in Statistics from a State University,Have a minimum of 1 year experience in the Operational Head or Centro Head position,"Expertly master the use of Ms. Office, especially the use of Ms. Excel in data processing such as VLOOKUP, HLOOKUP, Sum, IF and other Excel functions",Experienced in handling documents,Expertly master the use of data visualization software such as Google Data Studio,
Chatbot Developer Senior,PT Indodev Niaga Internet,Tangerang Selatan,Indonesia,"IDR 10,000,000.00 - IDR 15,000,000.00 / month",Full Time,Associate,Supervisor,IT and Software,Computer Software / Engineeringing,"Bachelor's or higher degree in computer science, software Engineeringing, or a related field;","Experience with NLP libraries and frameworks such as NLTK, spaCy, or Microsoft Bot Framework;",Knowledge of chatbot development best practices and design patterns;,Familiarity with RESTful APIs and webhook integrations;,Problem-solving skills and the ability to work independently and as part of a team;,
Chinese Teacher,Kipina Kids Indonesia,Tangerang,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Education and Training,Preschool Education,Have bachelor degree in Mandarin Education or Mandarin Literature,Have excellent communication skills,Able to work in team,Have linear experience for minimum 3 years,Have an excellent working knowledge of information technology for education,
Chuyên Viên Cao Cấp - Quan Hệ Đối Ngoại,HAKUHODO,"Thành phố Hồ Chí Minh,",Vietnam,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Media,Marketing and Advertising,"Proficient in Excel, Word, office PPT.","Communication, negotiation and problem solving skills.","Good presentation skills. High aesthetics, details and care.","Good organizational skills, sense of responsibility, able to withstand high pressure at work, complete work on schedule.",Excellent Vietnamese communication skills in speaking and writing.,
Chuyên Viên Kinh Doanh (Trình dược viên OTC),CÔNG TY CỔ PHẦN ĐẦU TƯ THƯƠNG MẠI KIẾN TẠO VIỆT,"Thành phố Hồ Chí Minh,",Vietnam,"IDR 5,120,000.00 - IDR 9,600,000.00",Full Time,Entry Level,"Junior, Apprentice",Management and Consultancy,Alternative Medicine,Professional qualifications: Graduated from College of Pharmacy / Business Administration,Have sales experience of 1 year or more (Preferred in the Pharmaceutical industry),"Working in Saigon and going on business trips to provinces (Tay Ninh, Binh Phuoc, Central region).",Planning and time management skills.,"Communication, presentation and persuasion skills.",
Chuyên Viên Nhân Sự (HCNS),Công ty Cổ phần Đầu tư Và Phát triển Bất động sản VISION REALTY,"Thành phố Hồ Chí Minh,",Vietnam,"IDR 7,680,000.00 - IDR 9,600,000.00",Full Time,Mid-Senior Level,Manager,Sales and Marketing,Real Estate,Personel records management,Provide personnel information to relevant departments when necessary,"Manage VPP, Company Uniforms, plan allocation to employees according to regulations.",Supervise the hygiene and workplace of departments.,"Receive mail, and forward it to departments",
Chuyên Viên Pháp Chế,BetterJobs,"Thành phố Hồ Chí Minh,",Vietnam,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice","Legal, Consulting and Translation",Human Resources,Graduated from University or College majoring in Law or other related majors,Have experience of 2 years or more in a similar position,"Have good communication, presentation, analysis and negotiation skills","Proficient in using Microsoft Office software (Word, Excel, PowerPoint).","Agile, eager to learn, able to withstand high work pressure",
Chuyên viên Sales Cao cấp (Mastery Homes),Công ty Cổ phần Đầu tư Và Phát triển Bất động sản VISION REALTY,"Thành phố Hồ Chí Minh,",Vietnam,"IDR 3,840,000.00 - IDR 64,000,000.00",Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Real Estate,Have over 6 months of experience selling apartment real estate,Having experience selling Vin and Masteri is an advantage,From 23 years old or older.,,,
Chuyên viên Sales Cao cấp (Vinhomes),Công ty Cổ phần Đầu tư Và Phát triển Bất động sản VISION REALTY,"Thành phố Hồ Chí Minh,",Vietnam,"IDR 3,840,000.00 - IDR 64,000,000.00",Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Real Estate,Have over 6 months of experience selling apartment real estate,Having experience selling Vin and Masteri is an advantage,From 23 years old or older.,,,
Chuyên viên tư vấn bảo hiểm,Công ty bảo hiểm nhân thọ FWD,"Thành phố Hồ Chí Minh,",Vietnam,"IDR 6,400,000.00 - IDR 64,000,000.00",Full Time,Entry Level,"Junior, Apprentice",Management and Consultancy,Insurance,Analyze the market and find potential customers,Contact and schedule appointments directly with customers,Introducing and consulting the company's Insurance products,Support to answer questions and handle problems that arise from customers,Implement the plan and sign the contract,
Chuyên Viên Tư Vấn Tài Chính,Công ty bảo hiểm nhân thọ FWD,"Thành phố Hồ Chí Minh,",Vietnam,"IDR 6,400,000.00 - IDR 64,000,000.00",Full Time,Entry Level,"Junior, Apprentice",Accounting and Finance,Insurance,Having experience is an advantage.,"Have communication, negotiation and relationship building skills",Living and working in Ho Chi Minh City,"Currently studying or have graduated from College/University or higher majoring in management, finance, banking, economics, Marketing","Male/Female, 23 years old or older",
Claim Analyst,Asuransi Astra,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Engineering,Insurance,Minimum Bachelor's Degree in Mechanical Engineeringing,Experience in Logistic Transportation/ Shipping Company,"Dynamic team player, self-motivated and pleasant personality","Detail oriented, analytical thinking, and proven superior communication skills",Excellent in Microsoft Office,
Cleaning Technician,Hoya Electronics Singapore Pte Ltd,Singapore,Singapore,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Manufacturing and Production,Manufacturing,Work closely with the Engineering to identify and resolve machine alarms.,Diagnose issues and implement solutions to minimize disruptions in production.,Collaborate with the Engineering in evaluating machine performance and processes.,Participate in experiments and tests to improve efficiency and quality.,Support the Engineering in the installation and commissioning of new equipment.,
Client Relations Associate,Aces Call Center Jobs Inc.,Makati,Philippines,"IDR 4,175,299.37 - IDR 8,350,598.73",Full Time,Entry Level,"Junior, Apprentice",Customer Service,Call Center / BPO,Some experience in a call center or customer service environment.,Proficient in relevant computer applications.,Good data entry and typing skills.,,,
"Client Solutions Officer | Financial Account | The Fort, BGC",Aces Call Center Jobs Inc.,Taguig,Philippines,"IDR 6,402,125.69 - IDR 8,628,952.02",Full Time,Entry Level,"Junior, Apprentice",Accounting and Finance,Call Center / BPO,Filipino,High School Graduate / College undergraduate; Fresh Graduates without experience,With at least 1 year tenure with any BPO company (handling any type of account),Good to Excellent English communication skills,Amenable to work on Shifting schedule,
Client Solutions Representative | Makati,Aces Call Center Jobs Inc.,Makati,Philippines,"IDR 4,175,299.37 - IDR 8,350,598.73",Full Time,Entry Level,"Junior, Apprentice",Customer Service,Call Center / BPO,Customer service experience in any industry is a plus but not required.,Previous technical background is also a plus,Fresh graduates.,Average to advanced written and spoken English.,Average to advanced knowledge in web navigation.,
"Clinical Analysts | USRN | Fort McKinley, Taguig",Aces Call Center Jobs Inc.,Taguig,Philippines,"IDR 11,134,131.64 - IDR 13,917,664.55",Full Time,Entry Level,"Junior, Apprentice",Customer Service,Call Center / BPO,Graduate of BS Nursing,Holder of Active USRN license (any US Mainland State) with PHRN license,With 1 year of clinical or hospital experience,Above average English communication skills - verbal and written,"Computer literate, familiar with MS Word and Excel",
Cloud Administrator,ABS-CBN Corporation,Quezon,Philippines,Salary Undisclosed,Full Time,Associate,Supervisor,IT and Software,"Entertainment / Film / News and Current Affairs / Public Service / Publishing / Digital, etc.","IT Course or Bachelor degree, with a technical major, such as Engineeringing or computer science.",Cloud Systems Operation,Web Application Deployment and Operations,Two to Six years system administration experience.,,
Cloud Engineering,PT Berlian Sistem Informasi,Jakarta Timur,Indonesia,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,IT and Software,Information Technology / IT,Good communication and presentation skills.,Candidate must possess at least Bachelor's Degree in Computer Science/Information Technology or equivalent.,At least 5 Year(s) of working experience in the related field is required for this position (Specialized in Cloud Engineering).,"Proven understanding and experiences in Email Server, Active Directory, Domain Control, Operating Systems (Office 365, Windows, Linux, etc.), Cloud Computing and Management, Back up system, hardware management (server).",Strong analytical skills and logical thinking.,
Collection Specialist,PT. Astra Welab Digital Arta,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",IT and Software,Information Technology / IT,Candidates must have at least a Bachelor's Degree in any field.,Have at least 1 year of work experience in a billing management role in Indonesia.,Strong understanding of local billing regulations reporting to ensure good internal controls and standard billing procedures are in place.,Have good problem solving skills.,,
College Guidance Counselor,CIIT College of Arts and Technology,Quezon,Philippines,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Education and Training,Education and Training,Graduate of a Bachelor's Degree in Psychology with a Master's Degree in Guidance and Counseling,Must be a Registered Guidance Counselor (RGC),"At least 3 - 5 years of immersive experience in different guidance and counselling services such as testing, placement, counselling and research in the tertiary level",Knowledge in various models of teaching and guidance modules are preferred for this role,Working knowledge in utilizing operations and innovations to handle the scale of growing population,
Communication Planning and Strategy Junior,TRUM.,"Thành phố Hồ Chí Minh,",Vietnam,"IDR 6,400,000.00 - IDR 8,320,000.00",Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Marketing and Advertising,1+ years hands-on experience in strategic planning.,Very strong analytical and logical skills.,Excellent communication and presentation skills.,Balance ability to perform analytically and creatively.,Intuitive and analytical approach to problem solving.,
Communications Specialist | Baguio,Aces Call Center Jobs Inc.,Baguio,Philippines,"IDR 4,314,476.01 - IDR 6,958,832.28",Full Time,Entry Level,"Junior, Apprentice",Customer Service,Call Center / BPO,Filipino,At least High School Graduate,Average English communication skills,Good web navigation skills,Computer literate; typing speed of 28wpm,
Communications Specialists | Cavite,Aces Call Center Jobs Inc.,Cavite,Philippines,"IDR 4,314,476.01 - IDR 6,402,125.69",Full Time,Entry Level,"Junior, Apprentice",Customer Service,Call Center / BPO,Filipino,At least High School Graduate,Average English communication skills,Good web navigation skills,Computer literate; typing speed of 28wpm,
Community Manager / Social Media Specialist,TRUM.,"Thành phố Hồ Chí Minh,",Vietnam,"IDR 5,120,000.00 - IDR 7,680,000.00",Full Time,Mid-Senior Level,Manager,Sales and Marketing,Marketing and Advertising,"Ability to manage human resources, train and orient collaborators clearly","Meticulous and responsible in work, foreseeing risk issues when managing fanpage and projects",Have a social mindset and acumen in content creation and content editing skills for social network channels.,"Have understanding and love for music community life, strengths in conveying creative and youthful content.",Able to exploit life - social - human issues intelligently and with a message.,
Compensation and Benefit Lead,PT. Jasa Teknologi Informasi IBM,Jakarta Pusat,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,Accounting and Finance,Information Technology / IT,Experience at least 3 years as Compensation Benefit Leader or similar role,"Strong knowledge of payroll taxes (Tax Article 21), labor laws, and other Compensation and Benefit regulations",Having certification of Brevet A and B courses would be an advantage,Hands on experience with payroll software/application,"Proficiency in Microsoft Office, especially Ms. Excel with advanced skill in Data Processing",
Compiliance Advisor,PT Nawa Data Solutions,Tangerang,Indonesia,Salary Undisclosed,Full Time,Associate,Supervisor,"Legal, Consulting and Translation",Information Technology / IT,"Possess a minimum of 7 years of experience in the banking industry, with a specific focus on compliance",Possess outstanding interpersonal and communication skills,Have great knowledge about regulations and permits in banking area,"Willing to work in Alam Sutera, Tangerang",,
Compliance and Standardization Officer ,FIFGROUP,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Financial Services,Bachelor degree from any major,Preferably experienced in related fields,Proficient knowledge in creating and maintaining internal regulations,Proficiency in Microsoft Suites,Comprehensive understanding in business process and organization,
Compliance Executive,JTC Kensington,Singapore,Singapore,"IDR 28,970,075.00 - IDR 46,352,120.00",Full Time,Mid-Senior Level,Manager,Accounting and Finance,Financial Services,"Bachelor’s degree in business, accountancy, banking and finance or law; diploma in law will be considered",Fresh graduates are welcome to apply,"Candidates with more experience will be considered for Senior Compliance Executive, compensation shall commensurate with experience",Keen eyes for details and meticulous with work,Strong verbal and written communication skills,
Conservation Acquisition Representative - Bandung,Yayasan Konservasi Alam Nusantara,Bandung,Indonesia,"IDR 3,500,000.00 - IDR 7,000,000.00",Full Time,Entry Level,"Junior, Apprentice",Public Service and NGOs,Non-Profit / Volunteering,D3/S1 any major,Confident to interact in public spaces,Able to communicate well,Active in organizations and likes to socialize,Likes challenges and is target oriented,
Conservation Acquisition Representative - Jakarta,Yayasan Konservasi Alam Nusantara,Jakarta Selatan,Indonesia,"IDR 3,500,000.00 - IDR 7,000,000.00",Full Time,Entry Level,"Junior, Apprentice",Public Service and NGOs,Non-Profit / Volunteering,D3/S1 any major,Confident to interact in public spaces,Able to communicate well,Active in organizations and likes to socialize,Likes challenges and is target oriented,
Conservation Acquisition Representative - Yogyakarta,Yayasan Konservasi Alam Nusantara,Sleman,Indonesia,"IDR 3,500,000.00 - IDR 7,000,000.00",Full Time,Entry Level,"Junior, Apprentice",Public Service and NGOs,Non-Profit / Volunteering,D3/S1 any major,Confident to interact in public spaces,Able to communicate well,Active in organizations and likes to socialize,Likes challenges and is target oriented,
Consultant / Senior Consultant Technology Consulting,Rsm Singapore,Singapore,Singapore,"IDR 44,034,514.00 - IDR 46,352,120.00",Full Time,Associate,Supervisor,Accounting and Finance,Accounting,"Diploma/Degree in Information Systems, Computer Science or equivalent professional qualifications with internal audit, IT audit and/or security working experience.",Experience in professional service firms such as IT Security Firms or Big Four will be an advantage but not a must.,Possess good interpersonal communication and presentation skills.,"Good command of the English Language, both spoken and written.",Willingness to travel overseas for job assignments.,
Content Creator,Laili Beauty,Surabaya,Indonesia,"IDR 11,588,030.00 - IDR 34,764,090.00",Full Time,Entry Level,"Junior, Apprentice",Media,"Health, Wellness and Fitness",Minimum S1 education,Active and up to date with social media trends,Understand social media algorithms,Interested in the world of beauty,Having experience in the same field is an added value,
Content Creator,Emplifi,Singapore,Singapore,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Human Resources,"A robust portfolio showcasing a diverse range of content creation, demonstrating proficiency in various formats and styles.","Proficient in multimedia tools and platforms, including graphic design, video editing, and other content creation software.",Excellent written and verbal communication skills with the ability to convey ideas effectively.,"A keen eye for trends, both within the industry and on social media platforms, with the ability to incorporate them into content strategies.",Comfortable using a variety of digital tools and staying updated on emerging content creation technologies.,
Content Creator Intern,Glampick Sdn Bhd,Kuala Lumpur,Malaysia,"IDR 3,978,888.00",Full Time,Internship,OJT,Media,Cosmetics,Good in writing English/Chinese/BM in social media style,"Able to upkeep with trends, curate creative contents for multiple platforms like Fb, IG, TikTok, XHS etc.",Able to conduct research and possess multitasking skills,Required Skill(s): Content writing and creative thinking,"Enjoy social media platforms, love creating fun videos, live and breathe digital",
Content Moderator,Language Talent Solutions,Kuala Lumpur,Malaysia,"IDR 7,626,202.00 - IDR 9,947,220.00",Contractual,Entry Level,"Junior, Apprentice",Human Resources,Human Resources,Bachelor's degree in any field,Excellent communication in Indonesian and English fluently,Preferably someone from Content Moderator/BPO/Contact Centre industry,Must be native Indonesian,Minimum 2 year of working experience,
Content Moderator - Japanese,Growthfn,Kuala Lumpur,Malaysia,"IDR 30,504,808.00",Full Time,Entry Level,"Junior, Apprentice",Media,Human Resources,Reviewing/updating contents on a popular social media platform,Audit of content received and sharing for Social Media Upload,,,,
Content Moderator | Mixed Voice and Non voice CSR | Fort BGC,Aces Call Center Jobs Inc.,Taguig,Philippines,"IDR 6,680,478.98",Full Time,Entry Level,"Junior, Apprentice",Customer Service,Call Center / BPO,At least High school or Senior high school graduate,Good to Excellent English communication skills,BPO experience preferred but not required.,"Willing to work a graveyard shift, shifting schedules, holidays and weekends.",Computer literate and Good Web Navigation Skills,
Content Writer (Local Internships),Tinvio,Singapore,Singapore,"IDR 11,588,030.00 - IDR 13,905,636.00",Full Time,Internship,OJT,Media,Information Technology and Services,"Excellent written and verbal English communication skills, other regional languages would be an asset",High attention to detail and are extremely organised,Ability to work independently on multiple projects in parallel within tight deadlines and with good time-management skills,Critical: Native fluency in English and the right to work in Singapore,"Bonus: Experience in SEO content writing, preferably in the B2B/FandB tech space",
Content Writer Intern,Delicious Consulting Pte Ltd,Singapore,Singapore,"IDR 6,952,818.00 - IDR 13,905,636.00",Full Time,Internship,OJT,Media,Writing and Editing,"Candidate must have a strong love for writing and ability to write in a concise, clear manner for online articles",An eye for detail to portray accurate information with grammatically correct sentences,Bubbly and lively personality,Strong command of English,Responsible and dedicated to tasks,
Content Writer Intern,Delicious Consulting Pte Ltd,Singapore,Singapore,"IDR 7,532,219.50 - IDR 13,905,636.00",Full Time,Internship,OJT,Media,Writing and Editing,"Candidate must have a strong love for writing and ability to write in a concise, clear manner for online articles",An eye for detail to portray accurate information with grammatically correct sentences,Bubbly and lively personality,Strong command of English,Responsible and dedicated to tasks,
Content Writer Sonora.id,Kompas Gramedia,Jakarta Barat,Indonesia,Salary Undisclosed,Contractual,Entry Level,"Junior, Apprentice",Media,Media Production,"Min. Bachelor's degree, any major (preferably majoring in Communication/Journalism)",Experienced as a content writer / online media reporter min. 1 year,Have a passion in journalism,Willing to work in shift systems and professional contracts,Follow and understand the latest news information and/or current trends,
Cook Assistant,Fusia Group,Surabaya,Indonesia,"IDR 2,500,000.00 - IDR 2,700,000.00 / month",Full Time,Entry Level,"Junior, Apprentice","Hotel, Restaurant and Travel",Food and Beverages,Min education SMA/SMK equivalent,Experienced in the FandB field,Can join immediately,,,
Cook KANNELY,Think Indonesia,Surabaya,Indonesia,"IDR 2,000,000.00 - IDR 2,000,001.00 / month",Full Time,Entry Level,"Junior, Apprentice","Hotel, Restaurant and Travel",Management Consulting,"Male or Female, max 35 years old",Have at least 1 year experience as a cook,"Able to work with a team, diligent, honest, disciplined and hardworking",Willing to work shifts and weekends,Understand the basics of western and Japanese cuisine,
Copy of QA Automation,Mobius Digital,Tangerang Selatan,Indonesia,Salary Undisclosed,Full Time (Remote),Mid-Senior Level,Manager,IT and Software,Information Technology / IT,Can communicate in English (basic communication),Have experience working professionally for at least 3 years,Full remote work,Available during office hours,"No issues in working for financial services (banking, insurance, etc)",
Copywriter Intern,HAKUHODO,"Thành phố Hồ Chí Minh,",Vietnam,"IDR 1,920,000.00",Full Time,Internship,OJT,Media,Marketing and Advertising,Full-time Internship: 6 months,Must be able to write in Vietnamese and English fluently,Must be able to translate Vietnamese to English and vice versa,Can-do attitude to do anything aside,Must be willing to give more than to get,
Corporate Accounting Manager,The Body Shop Indonesia,Tangerang,Indonesia,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,Accounting and Finance,Retail Industry,5-10 years working experience both in a reputable public accountant and retail industry is preferred.,Proven knowledge of IFRS and PSAK,Experience in preparing statutory financial statements,"Experience in preparing accounting systems, policies and procedures","Strong analytical skills in accounting field, and have a good sense of numbers",
Corporate Affairs Internship,Aztech Technologies Pte Ltd,Singapore,Singapore,"IDR 9,270,424.00 - IDR 11,588,030.00",Full Time,Internship,OJT,Media,Electrical/Electronic Manufacturing,"Students engaged in Environmental Studies, Urban Solutions, Public Policy or related studies",Student with interest/ basic knowledge in business sustainability principles and practices are welcome to apply,Possess good analytical and comprehension skills,Strong command of written and spoken English as the individual will be required to draft policies and other relevant documentations,Able to work and conduct research independently and in a team environment,
Corporate Cloud Engineering,PT BFI Finance Indonesia Tbk,Tangerang,Indonesia,Salary Undisclosed,Full Time (Remote),Associate,Supervisor,IT and Software,Financial Services,"Min 2 years on infrastructure related fields as i.e System Admin, Network Engineerings, DevOps, and security.","Hands on experiences on infrastructure services: operating system, active directory, email server, virtualization, backup and DRC.","Having knowledge in Linux administration, containerization, database storage and networking.",,,
Corporate Communication Intern,Great Giant Foods,Jakarta Selatan,Indonesia,Salary Undisclosed,Full Time,Internship,OJT,Sales and Marketing,Food and Beverages,"Fresh graduate from Communications, Journalism, Technical Writing or Marketing",Have proudly completed related course work and have put your studies into practice,"Enjoy being creative and have had exposure to graphic design software such as Adobe Photoshop, InDesign or Illustrator",Demonstrate your proven experience working with Microsoft Office products,Work smart by managing multiple priorities with deadlines in a constantly changing environment,
Corporate Procurement Manager,Eka Hospital,Tangerang,Indonesia,Salary Undisclosed,Full Time,Mid-Senior Level,Manager,Sales and Marketing,Hospital / Health Care,"Will handle strategic sourcing, finding, and evaluating suppliers for drugs, medical devices, and general items.",Conduct effective negotiation with suppliers/vendors and acquiring the most cost-efficient deals without compromising the quality.,,,,
Corporate Sales Staff,Eka Hospital,Tangerang,Indonesia,Salary Undisclosed,Full Time,Entry Level,"Junior, Apprentice",Sales and Marketing,Hospital / Health Care,S1 education in all majors,2 years experience as Sales Staff. Having experience in a hospital is preferred.,Have a high drive to achieve the set sales targets.,Able to create and present reports (weekly / monthly / yearly),Have good communication and interpersonal skills.,
